193,40,4
193,92,4
193,14,3
193,54,3
193,32,3
194,36,3
194,79,5
194,17,3
194,19,4
194,51,4
195,8,3
195,17,3
195,68,4
195,103,4
195,62,3
196,4,5
196,132,3
196,21,5
196,69,3
196,104,3
197,17,4
197,62,4
197,97,4
197,66,4
197,133,4
198,5,4
198,8,4
198,79,5
198,62,4
198,93,4
199,35,5
199,79,3
199,17,3
199,30,4
199,62,4
200,8,4
200,30,5
200,36,3
200,79,5
200,103,3
201,5,3
201,103,3
201,17,4
201,96,3
201,2,3
202,4,3
202,35,3
202,68,3
202,103,5
202,58,5
203,5,5
203,8,5
203,17,3
203,35,5
203,68,5
204,127,5
204,109,4
204,101,5
204,96,5
204,2,5
205,4,3
205,62,5
205,60,5
205,27,3
205,61,3
206,46,4
206,131,3
206,109,5
206,16,3
206,113,5
207,76,5
207,66,4
207,96,3
207,2,3
207,45,5
208,19,5
208,79,5
208,62,5
208,60,5
208,24,4
209,17,4
209,114,3
209,46,3
209,61,3
209,104,5
210,103,4
210,33,4
210,51,3
210,27,4
210,113,3
211,4,5
211,19,4
211,68,4
211,76,5
211,114,4
212,17,4
212,65,5
212,89,5
212,124,4
212,54,5
213,68,3
213,61,5
213,9,5
213,38,5
214,68,4
214,61,3
214,38,5
215,8,4
215,79,4
215,33,4
215,27,4
215,58,4
216,4,3
216,19,3
216,65,4
216,70,3
216,27,3
217,17,5
217,19,5
217,51,5
217,58,3
217,131,4
218,17,5
218,114,5
218,132,3
218,61,3
218,101,3
219,113,5
219,52,5
219,56,5
219,57,5
219,105,3
220,76,3
220,17,5
220,62,5
220,60,5
220,24,5
221,36,3
221,70,5
